,treatments,exclude_female,exclude_male,exclude_nestling,exclude_fitness
133,COLORMRKSAM.2.072,no,no,no,no
140,DIETCONTROL,no,no,no,no
164,COLORMRKCONTROL,no,no,no,no
165,.7.,no,no,no,no
167,OTHEROBS.7.041,no,no,no,no
170,TRANSMITOBS.7.041,no,no,no,no
176,BLOODF.MHSAM.2.072,no,no,no,no
178,TUNNEL.7.,no,no,no,no
179,BLOODF.GPSAM.3.073,no,no,no,no
181,COLORMRKSAM.3.073,no,no,no,no
186,BLOODF.NUSAM.3.041,no,no,no,no
187,OTHERSAM.2.041,no,no,no,no
189,OTHERSAM.3.041,no,no,no,no
192,IMMUNESAM.2.041,no,no,no,no
193,TRANSMITSAM.2.041,no,no,no,no
231,,no,no,no,no
247,MAN.4.071,yes,yes,yes,yes
267,long_control,no,no,no,no
291,CON.0.0041,no,no,no,no
305,NUL.5.000,no,no,no,no
323,NA,no,no,no,no
